NAME_1_n,NAME_2_n
AMAZONAS,AUTONOMO ALTO ORINOCO
AMAZONAS,AUTONOMO ATABAPO
AMAZONAS,AUTONOMO ATURES
AMAZONAS,AUTONOMO AUTANA
AMAZONAS,AUTONOMO MAROA
AMAZONAS,AUTONOMO RIO NEGRO
ANZOATEGUI,FERNANDO DE PENALVER
ANZOATEGUI,FRANCISCO DE MIRANDA
ANZOATEGUI,FRANCISCO DEL CARMEN CARVAJAL
ANZOATEGUI,JOSE GREGORIO MONAGAS
ANZOATEGUI,JUAN ANTONIO SOTILLO
ANZOATEGUI,JUAN MANUEL CAJIGAL
ANZOATEGUI,MANUEL EZEQUIEL BRUZUAL
ANZOATEGUI,PEDRO MARIA FREITES
ANZOATEGUI,SAN JOSE DE GUANIPA
ANZOATEGUI,SAN JUAN DE CAPISTRANO
ANZOATEGUI,SANTA ANA
ANZOATEGUI,SIMON BOLIVAR
ANZOATEGUI,SIMON RODRIGUEZ
ANZOATEGUI,SIR ARTHUR MC GREGOR
APURE,PEDRO CAMEJO
APURE,ROMULO GALLEGOS
APURE,SAN FERNANDO
ARAGUA,EZEQUIEL ZAMORA
ARAGUA,JOSE ANGEL LAMAS
ARAGUA,JOSE FELIX RIBAS
ARAGUA,JOSE RAFAEL REVENGA
ARAGUA,MARIO BRICENO IRAGORRI
ARAGUA,OCUMARE DE LA COSTA DE ORO
ARAGUA,SAN CASIMIRO
ARAGUA,SAN SEBASTIAN
ARAGUA,SANTIAGO MARINO
ARAGUA,SANTOS MICHELENA
BARINAS,ALBERTO ARVELO TORREALBA
BARINAS,ANDRES ELOY BLANCO
BARINAS,ANTONIO JOSE DE SUCRE
BARINAS,CRUZ PAREDES
BARINAS,EZEQUIEL ZAMORA
BOLIVAR,ANGOSTURA DEL ORINOCO
BOLIVAR,BOLIVARIANO ANGOSTURA
BOLIVAR,EL CALLAO
BOLIVAR,GRAN SABANA
BOLIVAR,PADRE PEDRO CHIEN
CARABOBO,CARLOS ARVELO
CARABOBO,DIEGO IBARRA
CARABOBO,JUAN JOSE MORA
CARABOBO,LOS GUAYOS
CARABOBO,PUERTO CABELLO
CARABOBO,SAN DIEGO
CARABOBO,SAN JOAQUIN
COJEDES,EZEQUIEL ZAMORA
COJEDES,LIMA BLANCO
COJEDES,PAO DE SAN JUAN BAUTISTA
COJEDES,ROMULO GALLEGOS
COJEDES,TINAQUILLO
DELTA AMACURO,ANTONIO DIAZ
DELTA AMACURO,CASACOIMA
DELTA AMACURO,PEDERNALES
DELTA AMACURO,TUCUPITA
DISTRITO CAPITAL,LIBERTADOR
FALCON,CACIQUE MANAURE
FALCON,LOS TAQUES
FALCON,MONSENOR ITURRIZA
FALCON,SAN FRANCISCO
GUARICO,EL SOCORRO
GUARICO,FRANCISCO DE MIRANDA
GUARICO,JOSE FELIX RIBAS
GUARICO,JOSE TADEO MONAGAS
GUARICO,JUAN GERMAN ROSCIO
GUARICO,JULIAN MELLADO
GUARICO,LAS MERCEDES
GUARICO,LEONARDO INFANTE
GUARICO,PEDRO ZARAZA
GUARICO,SAN GERONIMO DE GUAYABAL
GUARICO,SAN JOSE DE GUARIBE
GUARICO,SANTA MARIA DE IPIRE
LA GUAIRA,VARGAS
LARA,ANDRES ELOY BLANCO
LARA,SIMON PLANAS
MERIDA,ALBERTO ADRIANI
MERIDA,ANDRES BELLO
MERIDA,ANTONIO PINTO SALINAS
MERIDA,ARZOBISPO CHACON
MERIDA,CAMPO ELIAS
MERIDA,CARACCIOLO PARRA OLMEDO
MERIDA,CARDENAL QUINTERO
MERIDA,JULIO CESAR SALA
MERIDA,JUSTO BRICENO
MERIDA,OBISPO RAMOS DE LORA
MERIDA,PADRE NOGUERA
MERIDA,PUEBLO LLANO
MERIDA,RIVAS DAVILA
MERIDA,SANTOS MARQUINA
MERIDA,TULIO FEBRES CORDERO
MIRANDA,ANDRES BELLO
MIRANDA,BOLIVARIANO GUAICAIPURO
MIRANDA,CRISTOBAL ROJAS
MIRANDA,EL HATILLO
MIRANDA,LOS SALIAS
MIRANDA,PAZ CASTILLO
MIRANDA,PEDRO GUAL
MIRANDA,SIMON BOLIVAR
MONAGAS,EZEQUIEL ZAMORA
MONAGAS,SANTA BABARA
NUEVA ESPARTA,ANTOLIN DEL CAMPO
NUEVA ESPARTA,ARISMENDI
NUEVA ESPARTA,DIAZ
NUEVA ESPARTA,GARCIA
NUEVA ESPARTA,GOMEZ
NUEVA ESPARTA,MACANAO
NUEVA ESPARTA,MANEIRO
NUEVA ESPARTA,MARCANO
NUEVA ESPARTA,MARINO
NUEVA ESPARTA,TUBORES
NUEVA ESPARTA,VILLALBA
PORTUGUESA,AGUA BLANCA
PORTUGUESA,MONSENOR JOSE VICENTE DE UND
PORTUGUESA,SAN GENARO DE BOCONOITO
PORTUGUESA,SAN RAFAEL DE ONOTO
PORTUGUESA,SANTA ROSALIA
SUCRE,ANDRES ELOY BLANCO
SUCRE,ANDRES MATA
SUCRE,CRUZ SALMERON ACOSTA
TACHIRA,ANDRES BELLO
TACHIRA,ANTONIO ROMULO COSTA
TACHIRA,FERNANDEZ FEO
TACHIRA,FRANCISCO DE MIRANDA
TACHIRA,GARCIA DE HEVIA
TACHIRA,JOSE MARIA VARGAS
TACHIRA,PEDRO MARIA URENA
TACHIRA,RAFAEL URDANETA
TACHIRA,SAMUEL DARIO MALDONADO
TACHIRA,SAN CRISTOBAL
TACHIRA,SAN JUDAS TADEO
TACHIRA,SIMON RODRIGUEZ
TRUJILLO,ANDRES BELLO
TRUJILLO,JOSE FELIPE MARQUEZ CANIZAL
TRUJILLO,JUAN VICENTE CAMPO ELIAS
TRUJILLO,LA CEIBA
TRUJILLO,MONTE CARMELO
TRUJILLO,RAFAEL RANGEL
TRUJILLO,SAN RAFAEL DE CARVAJAL
YARACUY,ARISTIDES BASTIDAS
YARACUY,JOSE ANTONIO PAEZ
YARACUY,LA TRINIDAD
YARACUY,MANUEL MONGE
YARACUY,SAN FELIPE
ZULIA,ALMIRANTE PADILLA
ZULIA,FRANCISCO JAVIER PULGAR
ZULIA,INDIGENA BOLIVARIANO GUAJIRA
ZULIA,JESUS ENRIQUE LOSSADA
ZULIA,JESUS MARIA SEMPRUM
ZULIA,LA CANADA DE URDANETA
ZULIA,MACHIQUES DE PERIJA
ZULIA,ROSARIO DE PERIJA
ZULIA,SAN FRANCISCO
ZULIA,SANTA RITA
ZULIA,SIMON BOLIVAR
ZULIA,VALMORE RODRIGUEZ
